No,Code,Company Name,Listing Date,Shares,Listing Board
1,AALI,Astra Agro Lestari Tbk.,09 Dec 1997,"1,924,688,333",Main
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,"3,935,892,857",Watchlist
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,"620,806,680",Watchlist
4,ABMM,ABM Investama Tbk.,06 Dec 2011,"2,753,165,000",Main
5,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,"17,150,000,000",Main
6,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,"3,469,138,591",Development
7,ACST,Acset Indonusa Tbk.,24 Jun 2013,"12,675,160,000",Development
8,ADCP,Adhi Commuter Properti Tbk.,21 May 2021,"22,222,222,200",Development
9,ADES,Akasha Wira International Tbk.,13 Jun 1994,"589,896,800",Watchlist
10,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,"8,407,608,979",Main
11,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,"1,000,000,000",Development
12,ADMG,Polychem Indonesia Tbk,20 Oct 1993,"3,889,179,559",Development
13,ADMR,Adaro Minerals Indonesia Tbk.,03 Jan 2022,"40,882,331,500",Main
14,ADRO,Adaro Energy Indonesia Tbk.,16 Jul 2008,"31,985,962,000",Main
15,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,"1,006,010,800",Acceleration
16,AGAR,Asia Sejahtera Mina Tbk.,02 Dec 2019,"1,000,000,000",Development
17,AGII,Samator Indo Gas Tbk.,28 Sep 2016,"3,066,660,000",Development
18,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,"24,493,093,216",Main
19,AGRS,Bank IBK Indonesia Tbk.,22 Dec 2014,"37,365,877,065",Development
20,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,"4,900,000,000",Development
21,AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,"220,000,000",Watchlist
22,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,"9,311,800,000",Main
23,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,"6,449,463,636",Watchlist
24,AKPI,Argha Karya Prima Industry Tbk,18 Dec 1992,"612,248,000",Development
25,AKRA,AKR Corporindo Tbk.,03 Oct 1994,"20,073,474,600",Main
